"","x"
"lib2_AR_lib2_AR_T28_228_2_F11.S262","T28_other"
"lib2_AR_lib2_AR_T28_228_2_F12.S263","T28_NCSC"
"lib2_AR_lib2_AR_T28_228_2_F3.S254","T28_other"
"lib2_AR_lib2_AR_T28_228_2_F4.S255","T28_other"
"lib2_AR_lib2_AR_T28_228_2_F6.S257","T28_other"
"lib2_AR_lib2_AR_T28_228_2_G10.S273","T28_SMC"
"lib2_AR_lib2_AR_T28_228_2_G11.S274","T28_other"
"lib2_AR_lib2_AR_T28_228_2_G6.S269","T28_SMC"
"lib2_AR_lib2_AR_T28_228_2_G7.S270","T28_SMC"
"lib2_AR_T28_2_C5.S220","T28_other"
"lib2_AR_T28_2_D5.S232","T28_other"
"lib2_AR_T28_2_G5.S268","T28_SMC"
"Tres_A10.S382","Tres_other"
"Tres_A11.S112","Tres_other"
"Tres_A12.S104","Tres_other"
"Tres_A1.S310","Tres_SMC"
"Tres_A4.S334","Tres_other"
"Tres_A5.S342","Tres_other"
"Tres_A6.S350","Tres_SMC"
"Tres_A7.S358","Tres_other"
"Tres_A8.S366","Tres_other"
"Tres_A9.S374","Tres_other"
"Tres_B10.S383","Tres_other"
"Tres_B11.S111","Tres_SMC"
"Tres_B12.S103","Tres_other"
"Tres_B1.S311","Tres_other"
"Tres_B2.S319","Tres_other"
"Tres_B3.S327","Tres_other"
"Tres_B4.S335","Tres_other"
"Tres_B5.S343","Tres_other"
"Tres_B6.S351","Tres_other"
"Tres_B7.S359","Tres_other"
"Tres_C10.S384","Tres_other"
"Tres_C11.S110","Tres_other"
"Tres_C12.S102","Tres_other"
"Tres_C1.S312","Tres_other"
"Tres_C2.S320","Tres_pigmentation"
"Tres_C3.S328","Tres_other"
"Tres_C4.S336","Tres_pigmentation"
"Tres_C6.S352","Tres_other"
"Tres_C7.S360","Tres_other"
"Tres_C8.S368","Tres_other"
"Tres_C9.S376","Tres_other"
"Tres_D10.S117","Tres_other"
"Tres_D11.S109","Tres_other"
"Tres_D12.S101","Tres_pigmentation"
"Tres_D1.S313","Tres_pigmentation"
"Tres_D2.S321","Tres_SMC"
"Tres_D3.S329","Tres_other"
"Tres_D5.S345","Tres_pigmentation"
"Tres_D6.S353","Tres_other"
"Tres_D7.S361","Tres_other"
"Tres_D8.S369","Tres_other"
"Tres_E10.S116","Tres_other"
"Tres_E11.S108","Tres_other"
"Tres_E12.S100","Tres_other"
"Tres_E1.S314","Tres_other"
"Tres_E2.S322","Tres_pigmentation"
"Tres_E3.S330","Tres_other"
"Tres_E4.S338","Tres_other"
"Tres_E5.S346","Tres_other"
"Tres_E6.S354","Tres_other"
"Tres_E7.S362","Tres_other"
"Tres_E8.S370","Tres_other"
"Tres_E9.S378","Tres_other"
"Tres_F10.S115","Tres_other"
"Tres_F11.S107","Tres_SMC"
"Tres_F1.S315","Tres_pigmentation"
"Tres_F2.S323","Tres_other"
"Tres_F3.S331","Tres_other"
"Tres_F5.S347","Tres_other"
"Tres_F6.S355","Tres_SMC"
"Tres_F7.S363","Tres_other"
"Tres_F8.S371","Tres_other"
"Tres_F9.S379","Tres_other"
"Tres_G10.S114","Tres_SMC"
"Tres_G11.S106","Tres_other"
"Tres_G12.S98","Tres_other"
"Tres_G1.S316","Tres_other"
"Tres_G2.S324","Tres_other"
"Tres_G3.S332","Tres_other"
"Tres_G4.S340","Tres_other"
"Tres_G6.S356","Tres_other"
"Tres_G7.S364","Tres_SMC"
"Tres_G8.S372","Tres_other"
"Tres_G9.S380","Tres_pigmentation"
"Tres_H10.S113","Tres_other"
"Tres_H11.S105","Tres_other"
"Tres_H12.S97","Tres_other"
"Tres_H1.S317","Tres_other"
"Tres_H2.S325","Tres_other"
"Tres_H3.S333","Tres_other"
"Tres_H5.S349","Tres_pigmentation"
"Tres_H8.S373","Tres_other"
"Tres_H9.S381","Tres_other"
"Tres_A11.S273","Tres_other"
